time;battery;ec;humidity;temperature
00:08:32;-1;141;24.98;6.4
00:18:34;-1;141;25.03;6.4
00:28:35;-1;141;24.98;6.4
00:38:36;-1;140;24.98;6.4
00:48:38;-1;140;25.03;6.3
00:58:39;-1;140;25.03;6.3
01:08:41;-1;140;25.03;6.3
01:18:42;-1;140;24.98;6.4
01:28:43;-1;140;24.98;6.4
01:38:45;-1;141;24.98;6.3
01:48:46;-1;140;24.98;6.4
01:58:48;-1;140;24.98;6.4
02:08:49;-1;140;25.03;6.3
02:18:50;-1;140;24.98;6.3
02:28:52;-1;140;24.98;6.3
02:38:53;-1;140;24.98;6.3
02:48:55;-1;140;25.03;6.3
02:58:56;-1;140;25.03;6.2
03:08:57;-1;140;25.03;6.2
03:18:59;-1;140;25.03;6.2
03:29:00;-1;141;25.03;6.2
03:39:01;-1;141;25.03;6.2
03:49:03;-1;141;25.03;6.1
03:59:04;-1;141;25.03;6.1
04:09:06;-1;141;25.03;6
04:19:07;-1;141;25.03;6
04:29:08;-1;141;25.03;6
04:39:10;-1;141;25.03;6
04:49:11;-1;141;25.03;6
04:59:13;-1;141;25.03;6
05:09:14;-1;142;25.03;5.9
05:19:15;-1;141;25.03;5.9
05:29:17;-1;142;25.03;5.9
05:39:18;-1;142;25.03;5.9
05:49:19;-1;142;25.03;5.9
05:59:21;-1;141;25.03;5.9
06:09:22;-1;141;25.03;5.9
06:19:24;-1;141;25.03;5.9
06:29:25;-1;141;25.03;5.9
06:39:26;-1;141;25.03;5.9
06:49:28;-1;141;25.03;5.9
06:59:29;-1;141;25.03;5.9
07:09:31;-1;141;25.03;5.9
07:19:32;-1;141;25.03;5.9
07:29:33;-1;141;25.1;5.9
07:39:35;-1;141;25.03;5.9
07:49:36;-1;141;25.03;5.9
07:59:38;-1;141;25.03;5.9
08:09:39;-1;141;25.03;6
08:19:40;-1;141;25.03;6
08:29:42;-1;141;25.03;6
08:39:43;-1;141;25.03;6
08:49:44;-1;142;25.03;5.9
08:59:46;-1;141;25.03;5.9
09:09:47;-1;141;25.03;5.9
09:19:49;-1;141;25.03;5.9
09:29:50;-1;141;25.03;5.9
09:39:51;-1;141;25.03;5.9
09:49:53;-1;141;25.03;5.9
09:59:54;-1;141;25.03;5.9
10:09:56;-1;141;25.03;5.9
10:19:57;-1;141;25.1;5.9
10:29:58;-1;141;25.03;6
10:40:00;-1;141;25.03;6
10:50:01;-1;141;25.1;6
11:00:03;-1;141;25.1;6
11:10:04;-1;141;25.03;6
11:20:05;-1;141;25.03;6
11:30:07;-1;141;25.03;6
11:40:08;-1;141;25.1;6
11:50:09;-1;141;25.1;6.1
12:00:11;-1;141;25.1;6.2
12:10:12;-1;141;25.03;6.2
12:20:14;-1;141;25.1;6.2
12:30:15;-1;140;25.1;6.2
12:40:16;-1;140;25.1;6.2
12:50:18;-1;140;25.1;6.2
13:00:19;-1;140;25.03;6.2
13:10:21;-1;140;25.03;6.3
13:20:22;-1;140;25.1;6.3
13:30:23;-1;140;25.1;6.3
13:40:25;-1;140;25.1;6.3
13:50:26;-1;140;25.03;6.4
14:00:27;-1;140;25.03;6.4
14:10:29;-1;139;25.1;6.4
14:20:30;-1;141;25.1;6.4
14:30:32;-1;141;25.03;6.5
14:40:33;-1;140;25.1;6.5
14:50:34;-1;140;25.1;6.5
15:00:36;-1;140;25.1;6.6
15:10:37;-1;140;25.1;6.6
15:20:39;-1;140;25.1;6.6
15:30:40;-1;140;25.1;6.7
15:40:41;-1;140;25.1;6.7
15:50:43;100;140;25.1;6.7
16:00:44;-1;139;25.1;6.7
16:10:46;-1;139;25.03;6.8
16:20:47;-1;139;25.1;6.8
16:30:48;-1;139;25.1;6.8
16:40:50;-1;139;25.1;6.8
16:50:51;-1;139;25.1;6.8
17:00:52;-1;139;25.1;6.8
17:10:54;-1;139;25.1;6.8
17:20:55;-1;139;25.1;6.8
17:30:57;-1;139;25.03;6.8
17:40:58;-1;139;25.1;6.8
17:50:59;-1;139;25.1;6.7
18:01:01;-1;139;25.1;6.7
18:11:02;-1;139;25.03;6.8
18:21:04;-1;140;25.1;6.7
18:31:05;-1;139;25.1;6.8
18:41:06;-1;141;25.1;6.8
18:51:08;-1;140;25.1;6.7
19:01:09;-1;141;25.1;6.8
19:11:11;-1;139;25.03;6.8
19:21:12;-1;141;25.03;6.8
19:31:13;-1;141;25.03;6.8
19:41:15;-1;141;25.1;6.8
19:51:16;-1;141;25.03;6.8
20:01:17;-1;141;25.1;6.7
20:11:19;-1;141;25.1;6.8
20:21:20;-1;141;25.03;6.8
20:31:22;-1;141;25.03;6.8
20:41:23;-1;141;25.1;6.8
20:51:24;-1;141;25.03;6.8
21:01:26;-1;141;25.1;6.8
21:11:27;-1;141;25.1;6.8
21:21:29;-1;141;25.1;6.7
21:31:30;-1;141;25.03;6.7
21:41:31;-1;141;25.03;6.7
21:51:33;-1;141;25.03;6.7
22:01:34;-1;141;25.03;6.7
22:11:35;-1;141;25.1;6.7
22:21:37;-1;141;25.1;6.7
22:31:38;-1;141;25.03;6.7
22:41:40;-1;142;25.03;6.6
22:51:41;-1;142;25.03;6.6
23:01:42;-1;142;25.03;6.6
23:11:44;-1;142;25.03;6.6
23:21:45;-1;142;25.03;6.6
23:31:47;-1;142;25.1;6.6
23:41:48;-1;142;25.03;6.6
23:51:49;-1;142;25.1;6.6
